ID,Type,Negativist,Process,Static,Vortical,Holographic,Causal,Dialectic,Dominant,Creative,Harmonizing,Normalizing
ISTJc_My Personality Test Results...22,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ISTP_how hard is it to become a consultant?32,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ESTJc_Day in the life of a nurse | 12 Hour shift220,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESTJc_Living with Social Anxiety | my story & advice647,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Why ISTJs are Awesome203,ENFJc,1,1,0,0,0,0,1,0,1,0,0
"ENTJ_Fastest Killing Builds in Diablo 2 (Information, History Walk through) - 디아블로 2324",ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ESTP_30 Facts About Me || 30K SUBSCRIBERS!222,ESTP_,1,0,1,0,1,0,0,1,0,0,0
ESTJ_Type Theory of Carl G Jung: Dominant Extraverted Thinking47,ESTJ_,1,1,0,0,0,0,1,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4165,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ISTP_How I Learned to Code in 6 Months - And Got Into Google358,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty468,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ESTJc_How to Get an Internship | Advice from a UC Berkeley Student103,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]2514,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTP_I left my job (and where I've been)74,ENTP_,0,1,1,0,0,1,0,1,0,0,0
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty483,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ENFJc_Who Are The INFPs?17,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_My Objective Personality Type Revealed149,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3839,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ISFJc_What I Eat in A Week + 3 Year Vegan Update6,ISFJc,1,1,0,0,0,0,1,0,0,1,0
ISFJc_What I Eat in A Week + 3 Year Vegan Update366,ISFJc,1,1,0,0,0,0,1,0,0,1,0
ESTP_Christmas Gifts from Amazon People ACTUALLY Want (Under $50)150,ESTP_,1,0,1,0,1,0,0,1,0,0,0
ESFJc_i quit software engineering to do youtube320,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ENFJc_Who Are The INFPs?130,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Ken Jeong Answers Medical Questions From Twitter | Tech Support | WIRED31,ENFJc,1,1,0,0,0,0,1,0,1,0,0
"ESTJc_My Testimony (jail, depression, and God’s perfect provision)358",ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESTPc_5 Myths about the INTJ Personality Type67,ESTPc,1,0,1,0,1,0,0,0,1,0,0
ENFJc_Gaming On Youtube Has Changed250,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTP_Are You Too Selfless?291,ESTP_,1,0,1,0,1,0,0,1,0,0,0
ESFJc_A Video For Introverts75,ESFJc,0,0,0,1,0,0,0,0,1,0,0
INFP_Everything Terry Crews Does in a Day | Vanity Fair15,INFP_,0,1,1,0,0,1,0,0,0,0,1
ESFP_HTML & CSS - How Much Do You Really Need To Know? #devsLife126,ESFP_,0,1,1,0,0,1,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1790,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_You Know Someone is an ISTJ When... (Myers Briggs Personality Type Explained)196,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJ_What Women Find Attractive In A Man | 17 Traits They Love!83,ESFJ_,0,0,0,1,0,0,0,1,0,0,0
ESTJc_How To Be Authentic - Teal Swan -237,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ISTPc_How to learn any language in six months | Chris Lonsdale | TEDxLingnanUniversity207,ISTPc,0,1,1,0,0,1,0,0,0,1,0
ENFJ_What I’ve learned about life by observing the ENTP429,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1948,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Who Are The INFPs?656,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJ_Switzerland vs USA | Going to the doctor (my experience)309,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
ISTP_Reviewing My 2017 Resolutions | Vlogmas Day 12146,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ISFJc_What I Eat in A Week + 3 Year Vegan Update400,ISFJc,1,1,0,0,0,0,1,0,0,1,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3187,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4830,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]2299,ENFJc,1,1,0,0,0,0,1,0,1,0,0
"ISTP_""Are You Destined to Deal?"" With Goldman Sachs Managing Director Jim Donovan770",ISTP_,0,1,1,0,0,1,0,0,0,0,1
ENFJc_Who Are The INFPs?642,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFPc_DON'T GET FAT IN JAPAN109,ENFPc,1,0,1,0,1,0,0,0,1,0,0
ISTP_Reviewing My 2017 Resolutions | Vlogmas Day 12152,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3193,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ISFJc_What I Eat in A Week + 3 Year Vegan Update414,ISFJc,1,1,0,0,0,0,1,0,0,1,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4824,ENFJc,1,1,0,0,0,0,1,0,1,0,0
"ISTP_""Are You Destined to Deal?"" With Goldman Sachs Managing Director Jim Donovan764",ISTP_,0,1,1,0,0,1,0,0,0,0,1
ESFP_HTML & CSS - How Much Do You Really Need To Know? #devsLife132,ESFP_,0,1,1,0,0,1,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1784,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJ_What Women Find Attractive In A Man | 17 Traits They Love!97,ESFJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_You Know Someone is an ISTJ When... (Myers Briggs Personality Type Explained)182,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTJc_How To Be Authentic - Teal Swan -223,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ISTPc_How to learn any language in six months | Chris Lonsdale | TEDxLingnanUniversity213,ISTPc,0,1,1,0,0,1,0,0,0,1,0
ESTP_Are You Too Selfless?285,ESTP_,1,0,1,0,1,0,0,1,0,0,0
ENFJc_Gaming On Youtube Has Changed244,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESTPc_5 Myths about the INTJ Personality Type73,ESTPc,1,0,1,0,1,0,0,0,1,0,0
ESFJc_A Video For Introverts61,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ISTJc_My Personality Test Results...249,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty497,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ESFJc_Why I Haven't Been Posting...228,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ESFJc_i quit software engineering to do youtube334,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ESTP_Christmas Gifts from Amazon People ACTUALLY Want (Under $50)144,ESTP_,1,0,1,0,1,0,0,1,0,0,0
ISFJc_What I Eat in A Week + 3 Year Vegan Update372,ISFJc,1,1,0,0,0,0,1,0,0,1,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]729,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Who Are The INFPs?124,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Ken Jeong Answers Medical Questions From Twitter | Tech Support | WIRED25,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTP_The real secrets of the IDOL STAR ATHLETICS CHAMPIONSHIPS | IDOL INSIDER 🔍20,ENTP_,0,1,1,0,0,1,0,1,0,0,0
ESTJc_Living with Social Anxiety | my story & advice690,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ENFJ_What I’ve learned about life by observing the ENTP373,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
"ESTJc_My Testimony (jail, depression, and God’s perfect provision)364",ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESTJ_5 Ways to Optimise your Workspace to Improve Productivity91,ESTJ_,1,1,0,0,0,0,1,1,0,0,0
"ESFJc_How I made $8,000 in THREE weeks of College298",ESFJc,0,0,0,1,0,0,0,0,1,0,0
ESFJc_A Video For Introverts49,ESFJc,0,0,0,1,0,0,0,0,1,0,0
INFP_Everything Terry Crews Does in a Day | Vanity Fair29,INFP_,0,1,1,0,0,1,0,0,0,0,1
ENTJ_WHAT I LOOK FOR IN A GUY98,ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_My Objective Personality Type Revealed175,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3805,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ISTJc_My Personality Test Results...261,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ENFJc_Self-Discipline with Minimal Effort0,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJc_Why I Haven't Been Posting...200,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]701,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFPc_DON'T GET FAT IN JAPAN121,ENFPc,1,0,1,0,1,0,0,0,1,0,0
"ENTJ_Fastest Killing Builds in Diablo 2 (Information, History Walk through) - 디아블로 2495",ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJ_Switzerland vs USA | Going to the doctor (my experience)335,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
INFJc_How to Be Certain That You Are INFJ262,INFJc,0,0,0,1,0,0,0,0,0,1,0
ISTJc_My Personality Test Results...507,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ENFP_My Personality and Taking the Test216,ENFP_,1,0,1,0,1,0,0,1,0,0,0
ESFJc_i quit software engineering to do youtube72,ESFJc,0,0,0,1,0,0,0,0,1,0,0
"ESTJc_My Testimony (jail, depression, and God’s perfect provision)402",ESTJc,1,1,0,0,0,0,1,0,1,0,0
ISTP_ISTP Female | Hobbies182,ISTP_,0,1,1,0,0,1,0,0,0,0,1
INFJc_How to start a business in 2 days116,INFJc,0,0,0,1,0,0,0,0,0,1,0
ENFJ_What I’ve learned about life by observing the ENTP415,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1974,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFP_My Personality and Taking the Test202,ENFP_,1,0,1,0,1,0,0,1,0,0,0
"ESTJc_My Testimony (jail, depression, and God’s perfect provision)416",ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESFJc_i quit software engineering to do youtube66,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ISTP_ISTP Female | Hobbies196,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1960,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJ_What I’ve learned about life by observing the ENTP401,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
INFJc_How to start a business in 2 days102,INFJc,0,0,0,1,0,0,0,0,0,1,0
ENFPc_DON'T GET FAT IN JAPAN135,ENFPc,1,0,1,0,1,0,0,0,1,0,0
"ENTJ_Fastest Killing Builds in Diablo 2 (Information, History Walk through) - 디아블로 2481",ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ISFJc_What I Eat in A Week + 3 Year Vegan Update428,ISFJc,1,1,0,0,0,0,1,0,0,1,0
ENFJ_Switzerland vs USA | Going to the doctor (my experience)321,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
INFJc_How to Be Certain That You Are INFJ276,INFJc,0,0,0,1,0,0,0,0,0,1,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4818,ENFJc,1,1,0,0,0,0,1,0,1,0,0
"ISTP_""Are You Destined to Deal?"" With Goldman Sachs Managing Director Jim Donovan758",ISTP_,0,1,1,0,0,1,0,0,0,0,1
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3811,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_My Objective Personality Type Revealed161,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ISTJc_My Personality Test Results...275,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ESFJc_Why I Haven't Been Posting...214,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ESFJc_i quit software engineering to do youtube308,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]715,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Ken Jeong Answers Medical Questions From Twitter | Tech Support | WIRED19,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Who Are The INFPs?118,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTP_The real secrets of the IDOL STAR ATHLETICS CHAMPIONSHIPS | IDOL INSIDER 🔍34,ENTP_,0,1,1,0,0,1,0,1,0,0,0
ENFJ_What I’ve learned about life by observing the ENTP367,ENFJ_,1,1,0,0,0,0,1,1,0,0,0
ESTJc_Living with Social Anxiety | my story & advice684,ESTJc,1,1,0,0,0,0,1,0,1,0,0
"ESTJc_My Testimony (jail, depression, and God’s perfect provision)370",ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESTJ_5 Ways to Optimise your Workspace to Improve Productivity85,ESTJ_,1,1,0,0,0,0,1,1,0,0,0
ENFJc_Gaming On Youtube Has Changed278,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTP_The real secrets of the IDOL STAR ATHLETICS CHAMPIONSHIPS | IDOL INSIDER 🔍513,ENTP_,0,1,1,0,0,1,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]1551,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFPc_Love For My YouTube Family (and other random musings)151,ESFPc,0,1,1,0,0,1,0,0,1,0,0
ESTJ_Arnold Schwarzenegger Shows His Gym & Fridge | Gym & Fridge | Men's Health129,ESTJ_,1,1,0,0,0,0,1,1,0,0,0
ESTP_THINGS I Wish I Knew When I Started Programming | Life of Luba88,ESTP_,1,0,1,0,1,0,0,1,0,0,0
"ENTJ_Fastest Killing Builds in Diablo 2 (Information, History Walk through) - 디아블로 2668",ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]3346,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]55,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ESFJc_Fastest way to become a software developer185,ESFJc,0,0,0,1,0,0,0,0,1,0,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]4429,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTJ_My Minimalist Apartment126,ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ENFJc_Who Are The INFPs?497,ENFJc,1,1,0,0,0,0,1,0,1,0,0
ENTJ_6 Things I Wish I Knew When I Started Programming187,ENTJ_,0,0,0,1,0,0,0,1,0,0,0
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty124,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ENFJc_Learn Python - Full Course for Beginners [Tutorial]2058,ENFJc,1,1,0,0,0,0,1,0,1,0,0
INFJ_Bill Gates Breaks Down 6 Moments From His Life | WIRED183,INFJ_,0,0,0,1,0,0,0,0,0,0,1
ESTJc_How to Get an Internship | Advice from a UC Berkeley Student329,ESTJc,1,1,0,0,0,0,1,0,1,0,0
ESTPc_Life As An ENTP111,ESTPc,1,0,1,0,1,0,0,0,1,0,0
ISTJc_Creating Opportunities | Think Out Loud With Jay Shetty642,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ISTJc_OBJECTIVE PERSONALITY ISTJ (MM Si Te BPCS)126,ISTJc,0,0,0,1,0,0,0,0,0,1,0
ISTP_How I Learned to Code in 6 Months - And Got Into Google172,ISTP_,0,1,1,0,0,1,0,0,0,0,1
ISFP_Reasons are hard for an ISFP61,ISFP_,1,0,1,0,1,0,0,0,0,0,1
ESFJc_Improve your Vocabulary: Stop saying VERY!130,ESFJc,0,0,0,1,0,0,0,0,1,0,0
